isogroup254078	GO:0005737;GO:0010008;GO:0005887;GO:0043231;GO:0045121;GO:0005886;GO:0043235;GO:0005524;GO:0005509;GO:0004713;GO:0004872;GO:0004714;GO:0006919;GO:0071300;GO:0001838;GO:0048484;GO:0007156;GO:0060384;GO:0097021;GO:0000165;GO:0033619;GO:0001755;GO:0007158;GO:0042551;GO:0018108;GO:0061146;GO:0033630;GO:0030335;GO:0045793;GO:2001241;GO:0072300;GO:0014042;GO:0010976;GO:0045893;GO:0007497;GO:0006468;GO:0050770;GO:0030155;GO:0042493;GO:0048265;GO:0060041;GO:0007165;GO:0007169;GO:0035799;GO:0001657
isogroup160162	GO:0016324;GO:0016323;GO:0005737;GO:0016021;GO:0032420;GO:0005452;GO:0015293;GO:0060117;GO:0021747;GO:0061299;GO:0046666;GO:0006814
isogroup256159	
isogroup262657	GO:0005759;GO:0005634;GO:0005506;GO:0050313;GO:0006749;GO:0070813
isogroup247035	GO:0005576
isogroup230550	GO:0043625;GO:0005875;GO:0008296;GO:0051539;GO:0003677;GO:0003887;GO:0046872;GO:0000166;GO:0006974;GO:0071897;GO:0000738;GO:0006260;GO:0022008
isogroup253550	GO:0005829;GO:0016020;GO:0005634;GO:0030331;GO:0019003;GO:0005525;GO:0003924;GO:0030308;GO:0008285;GO:0009725;GO:0007264
isogroup235237	GO:0005789;GO:0043231;GO:0033782;GO:0020037;GO:0005506;GO:0008396;GO:0008387;GO:0006699;GO:0030573;GO:0008206;GO:0006707;GO:0007586;GO:0044281;GO:0016125;GO:0006805
isogroup211248	
isogroup25463	GO:0016021;GO:0004197;GO:0046872;GO:0004221;GO:0004843;GO:0043161;GO:0016579;GO:0061136
isogroup254847	
isogroup263690	GO:0034045;GO:0006914;GO:0015031
isogroup125353	GO:0005634;GO:0003682;GO:0051864;GO:0046872;GO:0000086;GO:0070544;GO:0045893;GO:0006351
isogroup216385	GO:0005737;GO:0005829;GO:0005758;GO:0005634;GO:0004857;GO:0031625;GO:0007049;GO:0071228;GO:0045087;GO:0030216;GO:0051782;GO:0000122;GO:0035872;GO:0048008;GO:0043065;GO:0006606;GO:0042127;GO:0051592;GO:0042493;GO:0032355;GO:0009749;GO:0042542;GO:0009612;GO:0032570;GO:0006351
isogroup237347	GO:0005576;GO:0004252;GO:0001558
isogroup251544	GO:0032886
isogroup259065	GO:0005615;GO:0005578;GO:0005109;GO:0060070;GO:0009880;GO:0001654;GO:0060898;GO:0030900;GO:0021879;GO:0021854;GO:0022002;GO:0043049;GO:0070654
isogroup199801	GO:0005634;GO:0043565;GO:0003700;GO:0006351
isogroup227950	GO:0016021;GO:0005886;GO:0016758;GO:0044267;GO:0006488;GO:0043687;GO:0018279
isogroup260200	GO:0035631;GO:0009898;GO:0005768;GO:0016874;GO:0019901;GO:0031996;GO:0005164;GO:0031625;GO:0004842;GO:0008270;GO:0006915;GO:0045087;GO:0032088;GO:0042981;GO:0001817;GO:0050688;GO:0032648;GO:0030162;GO:0008063;GO:0002224;GO:0033209
isogroup251248	GO:0043679;GO:0005829;GO:0030425;GO:0005783;GO:0005794;GO:0005634;GO:0005886;GO:0032993;GO:0005509;GO:0003677;GO:0005267;GO:0015459;GO:0043565;GO:0003714;GO:0005244;GO:0006915;GO:0048266;GO:0006886;GO:0000122;GO:0043523;GO:0006357;GO:0019233;GO:0007165;GO:0006351
isogroup199897	GO:0030424;GO:0009986;GO:0016021;GO:0005887;GO:0016020;GO:0005886;GO:0005332;GO:0005328;GO:0051939;GO:0007612;GO:0032229;GO:0007269;GO:0014054;GO:0051260;GO:0051592;GO:0042220;GO:0032355;GO:0010288;GO:0014074;GO:0009744;GO:0009636;GO:0007268;GO:0055085;GO:0006810
isogroup244933	GO:0000932
isogroup224717	GO:0005737;GO:0005622;GO:0005874;GO:0043005;GO:0008017;GO:0019901;GO:0048675;GO:0007420;GO:0021952;GO:0048813;GO:0035556;GO:0001764
isogroup260142	GO:0005737;GO:0070062;GO:0031415;GO:0005634;GO:0005667;GO:0043022;GO:0006474;GO:0043066;GO:0045893;GO:0050821
isogroup252088	GO:0005789;GO:0016021;GO:0008203
isogroup247268	GO:0030054;GO:0016021;GO:0030672;GO:0046872;GO:0005215;GO:0017156
isogroup258969	GO:0005829;GO:0005634;GO:0005886;GO:0044822;GO:0071364;GO:0071356;GO:0090367;GO:2001145;GO:0030838;GO:0045785;GO:0010763;GO:0033138;GO:0051897;GO:0051496;GO:0051291;GO:0072659;GO:0097178
isogroup262431	GO:0070062;GO:0043209;GO:0051287;GO:0004617;GO:0070314;GO:0009448;GO:0021782;GO:0006541;GO:0006544;GO:0006564;GO:0006563;GO:0021915;GO:0022008;GO:0031175;GO:0010468;GO:0021510;GO:0019530;GO:0006566
isogroup248878	GO:0005813;GO:0005829;GO:0005666;GO:0043231;GO:0005654;GO:0003677;GO:0003899;GO:0051607;GO:0010467;GO:0045087;GO:0006139;GO:0032481;GO:0006386;GO:0006385;GO:0006383;GO:0006384
isogroup257796	GO:0016021
isogroup259199	GO:0070776;GO:0005654;GO:0000786;GO:0005634;GO:0016407;GO:0003677;GO:0004402;GO:0008134;GO:0008270;GO:0006325;GO:0016573;GO:0043966;GO:0045892;GO:0006334;GO:0045893;GO:0006355;GO:0006351
isogroup191229	GO:0005525
isogroup254284	GO:0015629;GO:0005829;GO:0005886;GO:0005198;GO:0007155;GO:0007266
isogroup9193	GO:0016021;GO:0016020;GO:0005886;GO:0015181;GO:0015809
isogroup263029	GO:0005783;GO:0005789;GO:0044322;GO:0016021;GO:0016020;GO:0031982;GO:0005509;GO:0004571;GO:0044267;GO:0030433;GO:0009311;GO:0043687;GO:0006457;GO:0006487;GO:0018279
isogroup257682	GO:0016021;GO:0016020;GO:0005262;GO:0005509;GO:0030246;GO:0001965;GO:0070588;GO:0050982;GO:0007218
isogroup258495	GO:0016021;GO:0005887;GO:0004950;GO:0008188;GO:0004995;GO:0006935;GO:0007186;GO:0002121;GO:0007218;GO:0007217
isogroup121954	GO:0006950
isogroup249665	GO:0006950
isogroup234387	GO:0016021;GO:0016020;GO:0005262;GO:0005509;GO:0030246;GO:0001965;GO:0070588;GO:0050982;GO:0007218
isogroup262207	GO:0042383;GO:0033017;GO:0005524;GO:0004683;GO:0017080;GO:0018105;GO:0018107;GO:0010613;GO:0046777;GO:0006468;GO:0060341;GO:1901897;GO:2000649
isogroup255043	GO:0000932;GO:0016874;GO:0035198;GO:0004842;GO:0008270;GO:0008543;GO:0000082;GO:0010586;GO:0035278;GO:0001843;GO:0021915;GO:2000637;GO:0051865;GO:0060964;GO:2000177;GO:0072089
isogroup248571	GO:0031901;GO:0010008;GO:0005794;GO:0000139;GO:0016021;GO:0043231;GO:0031902;GO:0005765;GO:0032588;GO:0006874;GO:0032472;GO:0006487;GO:0035751
isogroup32594	GO:0030054;GO:0034707;GO:0005886;GO:0045211;GO:0005254;GO:0005230;GO:0004890;GO:0007165
isogroup233099	GO:0005604;GO:0000785;GO:0008280;GO:0005737;GO:0030893;GO:0016363;GO:0000922;GO:0005524;GO:0003682;GO:0045502;GO:0051301;GO:0006281;GO:0007126;GO:0007064;GO:0007052;GO:0006275;GO:0007165
isogroup261995	GO:0005634;GO:0003904;GO:0003677;GO:0003913;GO:0000166;GO:0000719;GO:0009650
isogroup248546	GO:0005737;GO:0016020;GO:0005509;GO:0004198;GO:0007298;GO:0016540;GO:0006508
isogroup248178	GO:0005777;GO:0005524;GO:0004631;GO:0006695;GO:0019287
isogroup247982	GO:0005813;GO:0005737;GO:0030496;GO:0000922;GO:0051301;GO:0007067;GO:0007346
isogroup260071	GO:0070062;GO:0005634;GO:0005158;GO:0070577;GO:0007010;GO:0008286;GO:0043066;GO:2001237;GO:0008284;GO:0043568;GO:0045840;GO:0033138;GO:0010800;GO:0045944;GO:0045893;GO:0006606;GO:0022604;GO:0040008;GO:0001932
isogroup216490	GO:0005763;GO:0070181;GO:0003735;GO:0006412
isogroup248590	GO:0051722;GO:0051721;GO:0019903;GO:0006482
isogroup245689	GO:0015629;GO:0005887;GO:0005886;GO:0004930;GO:0008188;GO:0042277;GO:0032870;GO:0009582;GO:0007186;GO:0007218;GO:0045761;GO:2000479;GO:0043408;GO:1901652;GO:0007268
isogroup261947	GO:0005783;GO:0030017;GO:0055120;GO:0016874;GO:0006464
isogroup228847	GO:0003676;GO:0008270;GO:0015074
isogroup228706	GO:0016021
isogroup198864	GO:0016021;GO:0005886;GO:0005007;GO:0008201;GO:0060539;GO:0003179;GO:0008285;GO:0001501;GO:0060412
isogroup250258	GO:0015969
isogroup257633	GO:0016020;GO:0005739;GO:0003725;GO:0051051
isogroup243419	GO:0005737;GO:0008747;GO:0005975;GO:0019262
isogroup162108	GO:0005634;GO:0003677;GO:0046872;GO:0003700;GO:0006351
isogroup238360	GO:0005759;GO:0004029
isogroup245881	GO:0005737
isogroup253870	GO:0005813;GO:0005737;GO:0005634;GO:0046872;GO:0004518
isogroup222210	GO:0005737;GO:0016021;GO:0005634;GO:0016874;GO:0004842;GO:0042593;GO:0006006;GO:0042787
isogroup247118	GO:0030014;GO:0005737;GO:0005634;GO:0031047;GO:0006355;GO:0006417;GO:0006351
isogroup231585	
isogroup245432	GO:0005737;GO:0043231;GO:0005741;GO:0036126;GO:0030154;GO:0006974;GO:0035694;GO:0035695;GO:0007275;GO:0007283
isogroup255743	GO:0046696;GO:0005886;GO:0001875;GO:0004888;GO:0050829;GO:0032497;GO:0006954;GO:0045087;GO:0042116;GO:0002755;GO:0050707;GO:0034142
isogroup248451	GO:0005654;GO:0030374;GO:0000166;GO:0044822;GO:0001104;GO:0008134;GO:0051091;GO:0045944;GO:0006366
isogroup103219	GO:0005768;GO:0005886;GO:0060613;GO:0031651;GO:0090327;GO:0044252;GO:0071879;GO:0051443;GO:0043588;GO:0001659
isogroup263355	GO:0003875;GO:0000287;GO:0006464;GO:0051725
isogroup254071	
isogroup201283	GO:0016021;GO:0015293;GO:0006865
isogroup68125	GO:0005737;GO:0031418;GO:0046872;GO:0000908;GO:0006790
isogroup258037	GO:0016791;GO:0016311;GO:0006388
isogroup104918	GO:0005524;GO:0004674
isogroup248354	GO:0005737;GO:0005524;GO:0050277;GO:0005975;GO:0035963;GO:0071353;GO:0071222;GO:0009052;GO:0016310;GO:0050727;GO:0043030
isogroup255705	GO:0016021;GO:0005622;GO:0016020;GO:0005886;GO:0005227;GO:0005229;GO:0098655;GO:0006812;GO:1902476;GO:0006821
isogroup114763	GO:0005634;GO:0003677;GO:0014029;GO:0006355;GO:0006351
isogroup261384	GO:0016607;GO:0005634;GO:0046872;GO:0003723
isogroup243632	GO:0031012;GO:0005925;GO:0016021;GO:0042470;GO:0005886;GO:0005509;GO:0004222;GO:0016504;GO:0003700;GO:0008270;GO:0001525;GO:0043615;GO:0060348;GO:0048754;GO:0016477;GO:0035988;GO:0030574;GO:0097094;GO:0048701;GO:0001958;GO:0001935;GO:0030324;GO:0008584;GO:0051895;GO:0001503;GO:0001541;GO:0030307;GO:0030335;GO:0006508;GO:0006355;GO:0043627;GO:0001666;GO:0009612;GO:0006979;GO:0048771;GO:0031638
isogroup257040	GO:0005634;GO:0003677;GO:0016740;GO:0032968;GO:0006367
isogroup202848	GO:0005737;GO:0031965;GO:0005730;GO:0005654;GO:0005634;GO:0005524;GO:0004550;GO:0050145;GO:0006757;GO:0006756;GO:0061508;GO:0061566;GO:0006174;GO:0061565;GO:0061570;GO:0061567;GO:0006186;GO:0061568;GO:0061571;GO:0061569
isogroup256899	GO:0030054;GO:0005887;GO:0031594;GO:0045211;GO:0043235;GO:0005524;GO:0004713;GO:0004714;GO:0030154;GO:0030198;GO:0007613;GO:0007275;GO:0007528;GO:0018108;GO:0010628;GO:0043525;GO:2000541;GO:0001934;GO:0046777;GO:0008582;GO:0006355;GO:0071340;GO:0007169
