"sampleID","A3","A3ac","A3ah","A3q","22426_A","A3n","36535_A","B1dk","B5","37609_B","2764853_B","788202_B","2764854_B","2764855_B","B2","51947_B","43578_B","2764857_B","2764856_B","B19","2764858_B","43335_B","2764859_B","2764861_B","2764860_B","1160612_B","1403659_B","50408_B","2764863_B","2764862_B","2764866_B","2764865_B","2764864_B","43518_B","B1","C1","C1c","C1na","C1b","C1al","C72k","11549_C","C1w","C3ju","C3","C15","428560_C","C1jx","C1bc","C42au","C42.2","C3ew","25718_C","21069_C","C3sa","C1t","C1ge","C1hq","C1my","281_C","C1ij","C1cu","C1l","C1bh","C1km","C1br","8196_C","C15bg","21062_C","5429_C","C3lk","C93b","C1ch","C1j","21059_C","17032_C","11574_C","21053_C","3630_C","21085_C","C1do","C15i","37251_C","C93a","13926_C","1327181_C","C1fh","6394_C","13074_C","21064_C","C42ca","8526_C","8380_C","42305_C","378934_C","284_C","21508_C","21042_C","21982_C","C1en","C1ai","C1.5","7802_C","5725_C","D1","D4","E1c","2764867_E","2764869_E","2764870_E","2764868_E","1468422_E"
"C6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3912","729","317","128","141","129","83","61","71","44","0","61","33","47","31","0","28","0","30","28","26","27","0","0","0","0","32","0","0","30","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"B10","8","0","0","0","0","0","0","0","0","0","0","0","0","0","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4714","740","276","149","92","131","111","89","79","81","0","39","37","35","31","0","57","56","40","31","36","34","0","33","0","0","0","0","0","0","0","0","0","0","0","0","0","29","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"B12","22","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","11","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6719","1312","430","257","201","178","139","127","103","105","0","76","78","56","53","49","58","77","59","53","53","51","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","31","0","0","0","0","0"
"F6","13","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3328","520","248","147","108","99","80","69","58","60","0","26","42","42","28","25","26","26","0","0","22","21","0","0","25","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"A6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3767","595","291","247","129","109","141","71","62","62","0","38","43","35","27","42","31","0","0","26","0","0","0","0","0","72","29","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"F12","19","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","17","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3015","469","187","117","63","81","77","43","44","60","0","22","28","28","28","0","38","37","38","21","20","0","0","0","0","0","0","0","0","0","0","0","0","0","18","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","27","0","0","0","0","0"
"A10","20","6","0","0","0","0","0","0","0","0","0","0","0","0","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4002","853","241","124","144","113","100","55","64","59","0","48","53","41","48","0","27","0","41","30","29","33","0","0","0","0","0","0","0","0","0","32","0","0","0","0","0","26","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0","0","0","0","0"
"F11","9","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3371","599","204","185","85","88","101","55","48","42","0","31","39","39","35","40","0","27","32","23","23","0","33","0","0","0","0","23","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0","53","9","4","5","0","0"
"B11","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3589","499","228","164","95","84","71","69","58","64","0","36","38","24","23","62","31","42","26","0","28","0","0","0","30","0","0","0","35","25","24","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"G6","87","0","0","0","0","0","0","0","0","0","0","0","0","0","16","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5886","979","406","250","163","160","179","121","82","116","0","66","55","46","56","44","50","47","0","40","0","43","61","0","0","39","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"B6","46","0","0","0","0","0","0","0","0","0","0","0","0","0","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2696","427","199","153","86","68","85","48","59","40","0","32","29","19","0","46","18","0","0","0","0","17","0","0","17","52","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","26","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
