"","colony","source","trans","TP","rate","estimate","lowerci","upperci"
"124","436","FR","FR","y45","0.796562983",1.04587239863848,0.862111156389826,1.22589401453201
"125","463","FR","FR","y45","1.006733105",1.04587239863848,0.862111156389826,1.22589401453201
"126","444","FR","FR","y45","1.386840976",1.04587239863848,0.862111156389826,1.22589401453201
"128","477","NS","BR","y45","1.169454732",0.922699690269641,0.703669304045387,1.12982788635437
"129","451","NS","BR","y45","0.659115901",0.922699690269641,0.703669304045387,1.12982788635437
"130","471","NS","BR","y45","1.080113742",0.922699690269641,0.703669304045387,1.12982788635437
"132","464","NS","BR","y45","0.791030668",0.922699690269641,0.703669304045387,1.12982788635437
"133","415","FR","BR","y45","1.249904178",1.260715025277,1.0458732984065,1.48452809212568
"134","450","FR","BR","y45","0.631733343",1.260715025277,1.0458732984065,1.48452809212568
"136","460","FR","BR","y45","1.286563475",1.260715025277,1.0458732984065,1.48452809212568
"137","402","FR","BR","y45","1.883520376",1.260715025277,1.0458732984065,1.48452809212568
"140","446","BR","BR","y45","0.851879306",0.95573845943622,0.73847962724107,1.17262578127525
"141","454","BR","BR","y45","0.905205486",0.95573845943622,0.73847962724107,1.17262578127525
"142","499","BR","BR","y45","0.728842325",0.95573845943622,0.73847962724107,1.17262578127525
"144","438","BR","BR","y45","1.344543737",0.95573845943622,0.73847962724107,1.17262578127525
"145","411","FR","NS","y45","1.13213002",0.985867442541108,0.670776974031434,1.28887595024563
"146","467","FR","NS","y45","0.841402949",0.985867442541108,0.670776974031434,1.28887595024563
"154","416","BR","NS","y45","1.574258555",1.47874918408773,1.17679923947198,1.79600022925099
"156","458","BR","NS","y45","1.381725714",1.47874918408773,1.17679923947198,1.79600022925099
"157","417","NS","NS","y45","1.097256017",1.32999946103461,1.12155887961659,1.55198915832037
"159","420","NS","NS","y45","1.4530719",1.32999946103461,1.12155887961659,1.55198915832037
"160","435","NS","NS","y45","1.642096526",1.32999946103461,1.12155887961659,1.55198915832037
"161","497","NS","NS","y45","1.121514607",1.32999946103461,1.12155887961659,1.55198915832037
