"","FR_FR...2","FR_BR...3","NS_FR...4","BR_FR...5","FR_NS","FR_BR...7","NS_FR...8","FR_BR...9","BR_NS...10","NS_NS...11","BR_BR...12","NS_FR...13","NS_FR...14","NS_NS...15","FR_FR...16","BR_BR...17","BR_NS...18","FR_FR...19","BR_FR...20","BR_BR...21","FR_BR...22","NS_BR...23","BR_BR...24","FR_FR...25","BR_FR...26","BR_FR...27","BR_NS...28","FR_BR...29","FR_BR...30","FR_FR...31","NS_BR...32","BR_FR...33","NS_BR...34","BR_BR...35","BR_FR...36","NS_BR...37","FR_FR...38","NS_NS...39","BR_BR...40","NS_NS...41"
"Coiled-coil domain-containing protein 147",-0.185866012824363,-0.273251159933113,0.314243059509047,-0.032356189311503,-0.299072790934513,-0.143238729408833,0.585374030612777,-0.0869861598861328,-0.273173747965203,0.812133860565988,-0.663157352683673,0.234019958705827,0.366635764812097,0.079488466087557,-0.348894554548593,-0.195552137615263,0.146978076713047,-0.299003754405783,-0.119487399500303,-0.208565766049883,0.130937654527127,0.0151728432908773,0.0126693143745671,-0.141729028724923,0.0795866842335471,-0.100961077423313,-0.361543778773563,-0.0548298859445429,-0.461135416058043,-0.0856158173731028,-0.118758659140663,0.136253764249557,0.475562402281597,-0.0269476242937827,0.300762907489147,0.652225148114547,0.356690126027977,-0.187554641942023,-0.231385502283883,0.200333125429707
"WD repeat-containing protein 17",0.181389586337952,-0.0121817751488984,-0.567529013796289,0.0386467661355017,-0.0182174547252383,0.0404932884801315,-0.398328969958488,0.320103024840571,0.599846065704881,-0.446353575549158,-0.290426649973468,-0.174237480517308,-0.144105094804898,-0.220139923713258,0.373181876612282,-0.148714064548088,-0.446527764950448,0.116315200095392,0.0992183664852817,-0.170468726605158,0.277675244170752,0.126827834851792,0.0662085394116416,0.302476445085312,0.104225416263202,0.284387072042492,0.219438946164052,0.376055860821912,0.356132547266302,0.369448325537052,-0.243661776102928,-0.403887978358288,-0.314070378489008,-0.0157928507053082,-0.238913405838878,-0.185252489226778,0.158919130601112,-0.202734765158078,0.148700380162992,0.0818542210993618
"Probable protein S-acyltransferase 17",0.213033425375027,-0.679773213619584,0.0524078538345862,0.129697685109576,-0.290341281773544,-0.0596525175409335,0.0270503957774162,0.114142175119877,0.439737516110426,-0.0846369213540137,-0.425686672919193,0.0319529941828662,0.722753376628056,-0.0022066281854638,-0.331196227830864,0.348601834802166,0.0302667885954362,-0.589817368365994,0.604647841669796,0.194786376385907,-0.0632244419292136,-0.100510080295974,-0.0274864152561438,-0.476371266925644,0.396133466882716,0.458305802926646,0.0264400192088363,0.163306443268356,-0.463862693773534,-0.436643175146824,0.0852078786960861,-0.194958971687603,0.185004181084256,0.209702300571867,-0.00873762699078373,0.431481349026476,-0.740571982637594,-0.289510853685344,0.274187470194176,0.126341164467696
"Phosphoglycerate kinase",-0.00967808227088174,-0.528698290177942,0.150240930692148,0.147112951464788,-0.785439780729543,-0.212123136318002,0.110552838580728,-0.499707574105292,0.179617860880198,0.147536123390958,0.267883140585948,0.175980533153978,-0.0837906040252721,0.139948967649098,-0.183899808007682,-0.123635429483882,-0.172214557064172,-0.658452310459142,0.151811602351458,0.301484943928008,-0.166190411379332,0.193558541591358,0.164562415166218,0.109150932302958,0.427046255642318,0.290110409406497,0.230281283988598,-0.259388185966213,-0.350315430298422,0.0793574273692981,0.0822523119496079,0.00860858856988767,-0.029378142217932,0.133759629453438,0.350711635364888,0.217617097877328,-0.434055613289642,0.323679002285288,-0.108005733700613,0.222107665848958
"Anthranilate synthase component 1",0.284819208351493,-0.206845744531416,0.339213168261674,-0.160178896015776,-0.229958226291476,-0.439262747536747,0.245078367687274,-0.459487031091126,0.0790085550275439,-0.0167323829916368,0.140189711397883,0.312607890418813,0.161759928213984,-0.066237210519656,0.190582714598603,-0.00401673138091674,0.231096375013654,-0.465255819765236,0.206939573580073,0.180526944595243,-0.129962633728907,-0.000344965837656197,-0.281815123749577,-0.355551475364947,0.215815318570034,0.0994154338697539,-0.049851971247266,0.0171386459303635,-0.360207016900536,0.118353298288643,0.183848376038074,0.150050703185704,0.414416996227963,0.0956089637798039,-0.148762258054516,-0.116713961511627,-0.381058247901756,0.0821476352223032,0.0114325103056334,0.112192125856254
"Proteasome subunit alpha type-4-A",0.104779836162555,0.325667054555885,-0.135407274080005,-0.649677105054715,0.214869664597425,-0.359291973390795,-0.163132716269405,0.108753800367175,-0.502399947404295,0.630221080835365,-0.513675485896735,0.433724947888655,-0.215585311742275,0.534899403039675,0.156475054471475,-0.392750412872165,-0.802538931865395,0.781926306371795,-0.243127915699625,-0.101793601368435,0.149588289577465,0.280905001193285,-0.660647761915085,-0.225897191786635,-0.0763846702573447,-0.0805348963145147,-0.757312443464095,-0.124123491764875,-0.116844625351855,0.125081688475135,-0.294597142951375,0.157309115808065,0.326822563790205,0.104255132368045,-0.114689494818025,0.676001762394245,0.477144467574275,0.300187597316885,-0.100503990200715,0.742303617680745
"Dynein light chain 2, cytoplasmic",-0.0297360264753679,0.076845137987672,-0.373929347941178,0.440565616640382,-0.441229868000408,0.0912882478766819,-0.211352484845738,-0.115383838090978,0.0149233576772319,-0.628551689989598,-0.201078957005488,-0.594190081981688,0.0301422110920422,-0.0348031459712081,-0.165735724349518,0.457042381449412,0.121016851886002,0.0100836376516122,-0.0200283916514779,0.0829985976939822,0.376337875176322,-0.298968680375888,-0.442222015477628,-0.492345918996148,0.130554739780942,0.695137852611622,0.619191635738462,-0.172083350138588,0.156792420555972,0.402131067372482,-0.0586176841272179,0.310036856116652,-0.00855257455433778,0.0475198017130221,-0.038836990965688,-0.237624532650338,0.219468323680742,-0.440252690868758,0.763849858917662,-0.040402477161658
"Solute carrier family 15 member 1",0.52080499698757,0.12301059122225,0.87011779669405,-0.15387771135214,0.227272252725859,0.32306069087291,0.48486959893243,0.29711322942055,-0.87083016563944,0.2190034621727,-0.72089373361071,0.55263996321183,-0.4888032983056,0.0232714850823097,0.0765109733281997,-0.8569650489311,-0.74237817971991,0.45659881360029,-0.68671520354358,-0.62285368508739,0.53010376874899,0.38952782967391,-0.5841797494568,-0.7720830670996,-0.80734830280885,-0.55282416714184,-0.5360142946743,0.65731353977423,0.78973348299198,-0.73195471090465,0.48921288376484,-0.48520514361818,0.76013016753594,-0.707890654668101,0.77574628796723,0.0787014002520197,0.73704831046009,0.844698175645719,-0.67952934665041,0.77385676214671
"Nucleoside triphosphatase I",-0.127087448989794,-1.02751899166883,-0.772204848331314,-0.149333178728124,-0.0475779932641638,-0.608950616446964,0.153949456893546,-0.566187514205384,0.466014880696596,-0.632681866576194,1.28635849845797,-0.845564009332744,0.475710795492686,-0.414688584833754,0.388129590335776,0.896659909603456,0.411547954802496,-0.802091419357184,0.442630919429486,0.421914062067886,0.309717661494016,-0.253443621381714,1.26751541038552,0.486952117977346,0.708719006802576,0.363763618292146,0.605039313729686,0.0774431229360464,-0.747616734978054,0.438289180776176,-0.752022601657464,1.09418861426213,-0.274522374673444,0.661252391376116,0.092352037447156,-0.851515856637974,-0.775355692225684,-0.679036958426414,-0.137350115087944,-0.583398116455654
"Protease Do-like 1, chloroplastic",0.347050522338185,0.144894228163206,-0.0220876304339948,-0.673006137328565,0.303645205157256,-0.0579790415125045,-0.119384223315695,-0.151683416977734,-0.348588312719535,0.348171412905966,-0.100990337057805,0.256911056026766,-0.276378139052015,0.870261691023985,0.408180565610305,-0.473286378527065,-0.348656034818425,0.303566285978885,-0.110645102468445,-0.216604416766665,0.314201570850945,0.311684111278586,-0.475808122830235,-0.0314831623760146,-0.0886931318911146,-0.0921001745428245,-0.626147010977745,0.281818158999286,0.142373133360056,0.0345293420514654,0.202171377704835,-0.979631457027815,0.432687477514906,-0.613791887725615,0.533405399298556,0.197281515912975,0.134071363736435,0.108576912180805,-0.118502507447614,0.249965295704025
