,FR_FR,FR_BR,NS_FR,BR_FR,FR_NS,FR_BR,NS_FR,FR_BR,BR_NS,NS_NS,BR_BR,NS_FR,NS_FR,NS_NS,FR_FR,BR_BR,BR_NS,FR_FR,BR_FR,BR_BR,FR_BR,NS_BR,BR_BR,FR_FR,BR_FR,BR_FR,BR_NS,FR_BR,FR_BR,FR_FR,NS_BR,BR_FR,NS_BR,BR_BR,BR_FR,NS_BR,FR_FR,NS_NS,BR_BR,NS_NS,pval.Source1,padj.Source1,pval.Source2,padj.Source2,pval.Source3,padj.Source3
isogroup227791,1.5232751652343,1.69853294075973,1.15805146394252,1.55414320777877,1.74015576528185,1.34981728712904,1.61481361488598,1.67633923839892,1.75822243585691,1.46077171149607,1.24254748951027,1.54953241204911,1.38628976251314,1.52040454351395,1.84822076622808,1.74982062723897,1.71597531270004,1.29933960621845,1.5805297932402,1.2986508535216,1.28717696470115,1.19530170097473,1.23536228393705,1.7029033872374,1.8110630618151,1.55937779091174,1.26431217272946,1.64010760581006,1.48878071784692,1.41521302015,1.17504294772775,1.61117186897419,1.28243851518822,1.69403454443979,1.31713791940564,1.25264550114961,1.58524701600293,1.41638123155614,1.45392832849917,1.31644132670535,0.0489708541393025,NA,0.0848062892013917,NA,0.723285214356676,NA
isogroup268467,1.18384275329876,1.19203490663963,1.76832834122131,1.41006687463304,1.73805367984183,1.3463267740023,1.61240906120823,1.3599922411443,1.59731969929736,1.27121832263739,1.41995993615551,1.25430441580394,2.18769151986927,1.80940192926281,1.20657904272688,1.74851717712878,1.53008728340436,1.12838582369936,1.17514797685214,1.12777004593483,1.08251945542877,1.19104521032898,1.23123192022379,1.70072235327794,1.66858659316521,1.55680653403847,1.61728575949453,1.48931839964152,1.6132886871583,1.03807831215638,1.79338681208751,1.60875697624744,1.07847362335394,1.79051063639504,1.31321313540427,1.671354546219,1.58296998111959,1.41291981339516,1.4505516476612,2.29339166336455,0.0688103825379554,NA,0.330648883761178,NA,0.330165436791587,NA
isogroup269925,1.94186918831396,0.972884486685765,1.14854305855861,1.25347113796651,1.40778761181871,1.03761638172614,1.87358897946639,1.67048438916576,1.04410000161516,1.62732107126337,1.03876050195563,1.24958633670481,1.06767965308726,1.6649101958853,1.2015158095485,1.12979044690999,1.5255557908245,1.2908725819292,1.01512177164437,1.72739301013127,1.64275191041961,1.36155949424961,1.57615700669047,1.97550542247605,1.9382999026603,1.41068993020814,1.61324331887254,1.63412717569341,2.04467401151795,1.22618465689876,2.15809971477062,1.60508078811501,1.27341742147828,1.58499345743703,1.30820344906572,1.39537029192378,1.91072192961155,1.57746106618561,1.78165611188023,1.10195845698321,0.626016018576415,NA,0.784313925852032,NA,0.410418427836267,NA
isogroup269998,1.85271023474696,1.41006308459952,1.1932821650088,1.4477964735742,1.45371498152792,1.0795245180222,1.65124213957699,1.5625577246519,2.08405980924777,1.83571124829349,1.28034378285631,1.95470008425045,1.2707289311124,1.39547591344309,1.58949595902879,1.16963028158277,1.57415248765828,1.48977331106633,1.35493054272513,1.33351492910405,1.68923538286769,1.23167288892966,2.18982774901697,1.2459155859422,1.39552631968382,1.59464064721034,1.30275761422,1.19880970963997,1.64995625111417,2.189820968925,1.83298740214876,1.17683953500933,1.99854027362346,1.82569696940934,1.15249457240925,1.2862683435158,1.21487141780102,1.08119204017377,2.59769933026666,1.72804741112682,0.827358150300356,NA,0.784110207727058,NA,0.599833440610783,NA
isogroup272628,1.39905032778975,1.12027622151397,1.36438600699569,1.84348646491352,1.62201225235123,1.38383904062125,1.34914488150166,1.40107960429012,1.09406832715272,1.98557165263016,1.63066429473968,1.58466332158624,1.27231934098454,1.55760841248809,1.42526505659444,1.56299171979258,1.75672434030327,1.16924685712811,1.73067501427653,1.33475831086661,2.00441030052237,1.40734515680669,1.7776556283012,1.74053987989624,2.10161957867028,1.96478363785007,1.30395482340171,1.37055735054273,1.38704192415295,1.45378782097233,1.54382427729454,1.3460550940363,1.8452479039546,1.72656540008064,1.72861691393071,1.43792818840304,1.36035395632298,1.45498065089947,1.49331854321773,1.54868734535438,0.476277059944681,NA,0.343738668034456,NA,0.0759941776382822,NA
isogroup272902,1.78633629408752,1.52626843998615,1.29563188178943,1.23055565056628,1.2015541480973,1.920273143007,1.43867990576591,1.64694041766956,1.3975878668125,1.76554388653604,1.20815424464696,1.06315224370775,1.04472596528338,1.1520120880835,1.81999916261649,1.8256237811384,1.49938900065243,1.26751719191075,1.78075028050533,1.70472919462851,1.4411511865818,1.9300675774391,1.20104461949279,1.95208971768508,0.964782877348953,1.23491096734972,1.41520216575249,1.12979451423773,1.46028056743101,1.38246137994127,1.47617748802985,1.43535703794871,1.61160356557251,1.56446853859935,1.07573521544213,1.22113915769142,1.15208344790625,1.20205581472068,1.23458107720966,1.98201798207564,0.485628443450915,NA,0.806859957249917,NA,0.305039118562726,NA
isogroup272966,1.37606863787276,1.39382815616102,1.7855195974545,2.04675282860743,1.43089874851872,1.36280285607628,1.32660929749904,2.20339503969083,1.7743479747522,1.4763757648962,1.60774401952534,1.56370055593446,1.53875402993481,1.01392549027495,2.123645540907,1.29092127012432,1.35431025953651,2.10347186449873,1.19159398350365,1.61252209138886,1.6655921603075,1.20949142045465,1.90177708109104,1.22350621186999,1.37350283210289,1.5736449858088,1.46372379762268,1.50689906250961,1.50232237787864,1.59849534358795,1.52159283847809,1.32354671769814,1.48472269341379,1.24626803470791,1.52509277074981,0.930047885658212,1.3394867322351,1.90334196224469,1.28446271646761,1.12755697421504,0.133379317326849,NA,0.424291222483518,NA,0.413052037399824,NA
isogroup273194,1.8058592945037,1.28144842924904,1.14383577438706,2.48176550455885,1.73042098788829,1.72189496142859,1.74191620498651,1.94108464369534,1.4179469198876,1.06174316675802,1.41086068372242,1.53921946086351,1.76686764630327,1.34632552542308,1.37465883671223,1.26642075984073,1.52086801595922,1.28643643334105,1.16592779559227,1.44207472110158,1.46198946847574,1.3570639146659,1.72969895206,1.37277106695668,1.17177063195914,1.40651026926219,1.43575505242733,1.14921960634688,1.47818845336884,1.22139447164778,1.49554839396884,1.29684928743323,1.0678921736377,0.936902856911362,1.84630096908601,1.9026958084138,1.01390141474355,1.22242270185752,2.07041404184794,1.67641399422022,0.911200227154689,NA,0.610995425855169,NA,0.508203872355947,NA
isogroup273213,1.72007530248759,1.12780160621816,1.67817818993171,1.59800716085719,1.63143699476285,1.39253138216665,1.65984144669905,1.57201318741818,1.80596420473843,1.51018759451168,1.47188484035644,1.59330740571688,1.8178742408736,1.04838411547956,1.8947177866132,1.44981816938553,2.0958011978174,1.64342124227001,1.49803776547725,1.3440226792781,1.13842143601581,1.57897916418886,1.46349319449498,1.89218599410985,1.40594737554346,1.60334264612778,1.11823598890618,1.68561738783725,1.99123976252683,1.28428216868054,1.038709616996,1.51102906426501,2.00603951513647,0.993063216447674,1.55958822895935,2.05976962625334,1.62721356808471,1.46468608255831,1.98525873396275,1.16413885554063,0.998668197727883,NA,0.657504499169301,NA,0.635947417447395,NA
isogroup273703,1.73094871916968,1.23902597922576,1.3847204186399,1.60836153658879,1.2964856827603,1.10164838891329,2.0512130719484,1.87375490521759,1.11644604688407,2.00594338029599,1.65145887690853,1.60364172087229,1.70737019845866,1.57781209266058,1.44616258747442,1.45953475796589,1.59672926101925,2.03136156803971,1.50796326619172,1.65312243144878,2.16678384792699,1.06847557356325,1.29595212537505,2.03615698427331,2.1206217475915,1.47283954423452,1.83968292318,1.54899182713913,1.40590531731361,1.1044645518435,1.56391782729643,1.80201739179475,1.70398839543181,1.00286067980767,1.38071748336539,1.59679064709444,1.6370944352574,1.29701101500684,1.33108723992002,1.74929357867291,0.898717622795795,NA,0.477574135248206,NA,0.542676296055468,NA
